SITE,evap_anom,midsoil_anom,topsoil_anom,deepsoil_anom,Mean_cattle_density,s0_trend,sd_trend,ss_trend,e0_trend,c3_c4ratio,AHGF_FPC,Dryag_prop,Irriag_prop,racLdry_trend,EVItrend
1514,0.032855459,-0.251670707,-0.118669844,-0.054069337,55.2116,-0.018391586,-0.664490095,-0.480858092,-0.014298339,0.312331276,0.13329,0.196205387,0,-0.188453885,-0.000836848
1515,0.031401378,-0.301693599,-0.160683377,0.006773194,6.75995,-0.04954798,-0.132177547,-0.459962436,-0.018335443,0.299921425,0.16671,0.000689878,0,-0.240618142,-0.001535399
1516,0.031401378,-0.301693599,-0.160683377,0.006773194,6.75995,-0.04954798,-0.132177547,-0.459962436,-0.018335443,0.285297923,0.13216,0.171598524,0,-0.494258802,-0.00106949
1517,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.285624003,0.02528,0.162926356,0,-0.1479958,-0.000760525
1518,0.031369515,-0.230125863,-0.106048534,0.004888321,133.8075,-0.02947318,-0.177399869,-0.503996012,-0.016468468,0.367328412,0.03135,0.676677318,0,0.073230737,-0.001531909
1519,0.03265205,-0.259597606,-0.136980233,-0.013813161,7.52463,-0.030486251,-0.23548583,-0.47014918,-0.016637174,0.312365125,0.01806,0.329661725,0,-0.001508469,-0.001803974
1520,0.031401378,-0.301693599,-0.160683377,0.006773194,6.75995,-0.04954798,-0.132177547,-0.459962436,-0.018335443,0.299984465,0.14325,0,0,-0.073847031,-0.000424275
1521,0.031401378,-0.301693599,-0.160683377,0.006773194,6.75995,-0.04954798,-0.132177547,-0.459962436,-0.018335443,0.299963412,0.16671,0.171598524,0,0.042960405,-0.001300398
1522,0.031800051,-0.36306979,-0.181109125,0.007759305,11.00315,-0.05485749,-0.098248705,-0.237543836,-0.021123141,0.285620359,0.02528,0.162926356,0,-0.1479958,-0.000662459
1523,0.031926897,-0.432845355,-0.202560025,0.004480451,10.91575,-0.078863269,-0.074197423,-0.220438069,-0.021577036,0.287996547,0.04862,0,0,0.249319665,-0.001174076
1524,0.031015079,-0.202592308,-0.104481997,0.001739529,111.1705,-0.037568256,-0.344432563,-0.343226587,-0.014320514,0.314026478,0.01971,0.625695682,0,-0.202769929,-0.001039326
